idx,domain,type,target_numcount,question,target_answer,r1_ox,r1_numcov_pct,r1_has_cite_marker,r1_has_support_word,r1_abstain,r1_answer_len,r1_answer_numcount,r2_ox,r2_numcov_pct,r2_has_cite_marker,r2_has_support_word,r2_abstain,r2_answer_len,r2_answer_numcount,r3_ox,r3_numcov_pct,r3_has_cite_marker,r3_has_support_word,r3_abstain,r3_answer_len,r3_answer_numcount,r4_ox,r4_numcov_pct,r4_has_cite_marker,r4_has_support_word,r4_abstain,r4_answer_len,r4_answer_numcount
62,it,paragraph,2,新規語彙体系の確立により効果を得ている事例を具体的に挙げてください。また、情報のXML化を行った経緯を簡単に説明してください。,新規語彙体系の確立により効果を得ている事例として、医療用医薬品添付文書記載要領改正に伴う添付文書情報の XML 化対応のケースがあります。1997年に定められた旧記載要領では、XML の前身のデータ記述記法であるSGML記法が使われていましたが、新記載要領では2017年にXML記法に変更されました。新記載要領は、医療の進歩や高齢化、IT技術の進展などに対応するために改訂されました。XML化の検討過程では、添付文書に必要なデータ項目、値、データ構造について議論を重ね、最終的にXML Schema（語彙）を策定しました。この変更の目的は、医薬品添付文書のデータ構造を標準化し、効率的な情報提供と管理を実現することです。,O,100.0,0,0,0,799,24,O,100.0,0,0,0,991,25,O,100.0,0,0,0,541,11,O,100.0,0,0,0,471,11
63,it,paragraph,0,語彙の作成における名寄せとは何か。また、用語辞書や語彙との関連性についても詳しく教えてください。,データの共通理解の土台となる「語彙」を作るために、既存のデータを分析し、同一概念に対応する様々な表記を同義語として整理する作業を名寄せといいます。名寄せの作業により出来上がる同義語リストを「用語辞書」と呼びます。用語辞書には、用語名、意味、略語(複数可)、同義語(複数可)が含まれ、名寄せされたデータ項目に対して相互の関連情報の付加などを施すことにより「語彙」としてのデータ項目の構造が定義されます。また、用語辞書を整理する際に、用語が表す概念に対して上位概念・下位概念の関係などを体系的に定義する場合もあります。,O,,0,0,0,811,3,O,,0,0,0,1367,10,O,,0,0,0,745,4,O,,0,0,0,640,4
64,it,image,0,用語辞書および語彙を作成するための工程を具体的に示してください。,既存データの分析として、ますデータ項目の用語を抽出し整理し、データ項目の用語辞書を作成します。続いて、データ項目の値を抽出して整理し、値の用語辞書（値リスト）を作成します。そして、データ項目用語の表記と相互の関連性を定義し、用語が取りうる値リストを定め、語彙を作成します。,O,,0,0,0,886,10,O,,0,0,0,685,11,O,,0,0,0,583,9,O,,0,0,0,747,10
65,it,table,0,クラウドサービスにおけるIAMとはどのようなサービスですか。推奨されるIAMの設定方法についても教えてください。,"IAMはID とアクセス管理を指します。「誰が」「どのリソースに対し」「どのような操作ができるか」を定義し、アクセス制御を実現するために提供されているサービスです。
管理者はクラウド全体のセキュリティに関与するため、管理者アカウントとユーザアカウントを分離し、管理者アカウントには多要素認証を必須にする等の設定を確実に行うほか、組織の要件に応じてユーザアカウントの IP アドレス制限など各種設定を確実に行う必要がある。特にゲストユーザーについては、不要な情報公開を避けるため、必要最小限の権限とする。また、暗号化キーは統合管理サービスで集中管理することを推奨する。なお、管理者が ID とアカウントを網羅的に把握する仕組み（申請ベースで中央での払い出し、CASB による新規アカウントの個別発行不可等）を設ける必要があります。",O,,0,0,0,739,5,O,,0,0,0,667,6,O,,0,0,0,910,6,O,,0,0,0,844,1
66,it,table,0,クラウドサービス事業者は、クラウドサービス設定における不備を低減、防止するために、どのような対策が求められるか。具体的に説明してください。,クラウドサービス事業者は、「クラウドサービス提供におけるガバナンスの確保」「設定診断等の支援ツール提供に対する組織的取組」「クラウドに関する人材の組織的育成」が求められる。「クラウドサービス提供におけるガバナンスの確保」は、設定不備の抑止・防止に関する組織全体での基本的な方針、役割、責任等を定めた文書（例えばクラウドサービス提供方針等）に設定不備対策を追記し、組織長の承認及び署名等を経て、組織内及び関係する組織に配布することが必要となる。「設定診断等の支援ツール提供に対する組織的取組」では、クラウドサービス利用の高度化・複雑化に伴い、設定が必要な項目が量的な増加や組合せの整合性を取ることなどの複雑化が課題となる。クラウドサービス利用者の立場に立った支援ツール等の提供について積極的に取り組むことを検討し、組織として予算化、計画化することが望ましい。「クラウドに関する人材の組織的育成」では、クラウドサービス提供におけるシステム動作環境の設定に関する知識やノウハウの向上を実現するために、組織的にクラウド資格等の取得やセミナー受講等について計画し、文書化すること。また、クラウドに関する人材を組織的に育成するための基盤として、クラウドに関する人材を適切に評価できる枠組みを構築することが重要だ。,O,,0,1,0,1231,28,O,,0,1,0,1242,28,O,,0,0,0,1304,7,O,,0,0,0,1162,7
67,it,paragraph,10,通信インフラの高度化とデータ流通がどのように発展してきたのか、これまでの技術の高度化の歴史や特徴について説明してください。,通信インフラの高度化とデータ流通の進展は複数のステージを経て進化しています。まず、インターネットの普及初期(1990年代半ばから2000年代半ば)は「Web1.0」と称され、ホームページの閲覧や電子メールでのメッセージ送信など、片方向の情報・データの流通が主でした。この時期は固定通信ネットワークとして従来のADSLからFTTH(Fiber To The Home)への乗り換えが進展し、2008年には FTTHが総契約数でDSLを抜きました。一方、移動通信ネットワークは1979年の第1世代から始まり、約10年周期で更新され、2020年には第5世代サービスが開始されました。次のステージとして2005年前後に登場したSNSや動画投稿サイト、それに続くスマートフォンの急速な普及により、情報の双方向流通が進展し、これが「Web2.0」と呼ばれています。,O,100.0,0,0,0,1332,43,O,100.0,0,0,0,1506,49,O,100.0,0,0,0,1100,41,O,100.0,0,0,0,1605,35
68,it,paragraph,4,日本企業のパーソナルデータ活用率について、諸外国と比べてどのような傾向があるか。,企業におけるパーソナルデータの活用状況について、活用していると回答した企業は日本では52.8%でした。一方、米国では活用している企業の割合は81.9%、ドイツ77.0%、中国92.6%と、日本に比べて大幅に活用が進んでいます。,O,100.0,0,0,0,316,12,O,100.0,0,0,0,208,6,O,100.0,0,0,0,271,4,O,0.0,0,0,0,139,0
69,it,image,0,パーソナルデータの提供時にユーザがどのようなことを重視しているか、日本と米国の違いについて説明してください。,日本では、「提供先が十分なセキュリティを担保すること」が最も多く、次に「提供されたデータの利用目的」「適切なデータの取り扱い方法」が次いで多い傾向があります。米国も「提供先が十分なセキュリティを担保すること」が最も多いものの日本よりもその割合が低く、次に多いのが「データの提供に対する適切な同意の取得」「適切なデータの取り扱い方法」となっています。,X,,0,0,0,988,28,X,,0,0,0,1149,32,X,,0,0,0,320,0,X,,0,0,1,467,9
70,it,image,3,ファクトチェックに対する日本の認知度はどの程度か。アメリカや韓国との比較についても説明してください。,調査結果によると、ファクトチェックの意味を知っている人の割合は日本が28.6％となっている。一方で、アメリカの認知度は81.9%、韓国は85.2％であり、日本と大きな差があります。日本ではファクトチェックの重要性がまだ充分に認識されていないことがわかります。,X,0.0,0,0,0,789,21,X,0.0,0,0,0,741,23,X,0.0,0,0,0,279,2,O,0.0,0,0,0,547,18
71,it,table,9,スマートフォンの個人保有率、5Gに対応したスマートフォンの出荷台数、5Gの人口カバー率はどれくらいか。それぞれ具体的な数値や変化率などについて教えてください。,"スマートフォンの個人保有率は、2022年度は77.3％で、前年は74.3%から4%増加した。5Gに対応したスマートフォンの出荷台数は、2021年度は1,753万台であり前年に比べて67.7%増加した。また、5G人口カバー率は2021年時点で93.2%で、前年のデータは示されていない。",O,88.9,0,0,0,185,11,O,88.9,0,0,0,227,14,O,88.9,0,0,0,320,16,O,88.9,0,0,0,236,12
72,it,paragraph,5,デジタル田園都市国家構想の推進において、光ファイバや5Gなどのデジタル基盤の整備の具体的な目標および関連する取組について詳細に説明してください。,デジタル田園都市国家構想の推進では、光ファイバと5Gのデジタル基盤整備が重要な要素となっています。具体的に、光ファイバの世帯カバー率は2027年度末までに99.9%を達成することが目標とされており、これは『デジタル田園都市国家インフラ整備計画』に基づいて進められています。また、5Gの人口カバー率は2025年度末までに97%を目指しており、この達成をサポートするために、補助金や税制措置の導入、インフラシェアリングの推進などの取組が行われています。非常時における事業者間ローミングについては、『非常時における事業者間ローミング等に関する検討会』を開催し、携帯電話事業者間のネットワーク相互利用についての検討が進められています。,O,100.0,0,0,0,1141,26,O,100.0,0,0,0,1209,27,O,100.0,0,0,0,588,14,O,100.0,0,0,0,568,9
73,it,table,1,下請法上、親事業者は代金に関してどのような禁止事項があるか。,親事業者は、下請代金の支払い遅延の禁止されており、物品等の受領日後 60 日以内に定めた支払期日までに下請代金を全額支払わなければなりません。また、下請代金の減額も禁止されており、あらかじめ定めた下請代金を減額してはなりません。,O,100.0,0,0,0,665,25,O,100.0,0,0,0,747,31,O,0.0,0,0,0,233,22,O,100.0,0,0,0,726,14
74,it,paragraph,2,ソフトウェア開発を外部委託する場合、3億円の資本金基準が適用されるのはどのような場合か。具体的な条件を教えてください。,３億円の資本金基準が適用されるのは、プログラムの作成に係る情報成果物作成委託、情報処理及び運送、物品の倉庫における保管に係る役務提供委託、物品の製造委託・修理委託を行う場合、親事業者が資本金3億円超の法人事業者かつ下請事業者が資本金3億円以下の法人事業者（または個人事業者）、または、親事業者が資本金1千万円超3億円以下の法人事業者かつ下請事業者の資本金1千万円以下の法人事業者（または個人事業者）の場合です。,O,100.0,0,0,0,852,19,X,100.0,0,0,0,1245,30,X,100.0,0,0,0,668,11,O,100.0,0,0,0,606,8
75,it,paragraph,0,販売する業務システムのマニュアルを外部業者に委託する予定です。これは下請法の対象になりますか？,商品に付属するマニュアルの印刷を委託することは、製造委託に該当し、下請法の対象となります。,O,,0,1,0,302,0,O,,0,0,0,246,0,O,,0,0,0,230,3,O,,0,0,0,397,1
76,it,paragraph,0,データセンターのベンチマーク制度について、基準を達成した事業者にはどのようなメリットがありますか？,目指すべき水準を達成した事業者は、省エネ優良事業者として社名を公表します。,X,,0,0,0,42,0,X,,0,0,0,42,0,X,,0,0,1,122,1,X,,0,0,1,112,1
77,it,table,0,データセンター事業者ではない所有者の建物を間借りして、データセンター事業を行っています。この場合、ベンチマーク指標の報告対象になりますか？,建物を貸している建物のオーナーはベンチマーク制度の対象外です。建物を間借りしてDC業を営む事業者は、テナント部分のPUEを算出し報告する必要があります。,O,,0,0,0,382,0,O,,0,0,0,349,0,O,,0,0,0,318,3,O,,0,0,0,287,4
78,it,table,0,単独所有のデータセンターのエネルギー使用量の報告は誰が行いますか？,ハウジング事業者（管理権原箇所）とテナント事業者（使用分全て）です。,O,,0,0,0,77,0,O,,0,0,0,77,0,O,,0,0,0,201,2,O,,0,0,0,197,2
79,it,image,0,スプリントレトロスペクティブとスプリントレビューの違いを教えてください。,スプリントレトロスペクティブは、チームがスプリント中の活動を振り返り、改善する点を見つけるミーティングです。この会議では、チームの作業プロセス、コラボレーション方法、ツールの使用に関するフィードバックを収集して、次のスプリントがより効果的になるようにします。一方、スプリントレビューは、スプリント中に開発されたインクリメント（開発成果物）をレビューし、利害関係者からフィードバックを受ける時間です。この会議では、製品目標の達成可否を判断し、次のプロダクトバックログアイテムの優先順位を調整するなどの活動を行います。,O,,0,0,0,975,15,O,,0,0,0,981,6,O,,0,0,0,732,7,O,,0,0,0,646,6
80,it,table,2,デイリースクラム、スプリントレビュー、およびスプリント・レトロスペクティブの各ミーティングの目的と、これらがスプリントの成果にどのように影響するかを具体的に説明してください。,デイリースクラムは、開発チームの共通理解を持ち、スプリントのゴールが達成できそうかを確認するための15分程度の短時間のミーティングです。これにより、チームはプロジェクトの進捗状況を毎日確認し、必要な調整や支援を迅速に行うことができます。スプリントレビューはスプリントの成果を確認し、ゴールがどの程度達成できたかを判断するためのミーティングです。このフィードバックをもとに、今後実施するべき事項を検討します。このプロセスは、開発チームが継続的に改善し、次のスプリントでのパフォーマンスを向上させるために不可欠です。スプリント・レトロスペクティブ(ふりかえり)は、スプリントの活動を省みて、次のスプリントの活動が効率的、効果的となるよう継続すべき工夫や取り除くべき問題、そのための施策などを検討するミーティングです。これにより、チームは自己改善を行い、より効果的な作業方法を構築することができます。これら3つのミーティングを通じて、チームはスプリントの進行を効率的に管理し、目標達成に向けて継続的に進化することができます。,O,50.0,0,0,0,1272,1,O,100.0,0,0,0,1373,4,O,50.0,0,0,0,905,4,O,50.0,0,0,0,905,4
81,it,paragraph,0,発注者がアジャイル開発を採用する際の姿勢について、具体的にどのような準備と努力が必要か教えてください。また、準備が不十分な場合にどのようにプロジェクトの成功確率が下がるかについても詳しく説明してください。,発注者がアジャイル開発を採用する際には、いくつかの重要な準備と努力が必要です。まず、発注者（プロダクトオーナー）は仕様を決定するために、アドバイザーやエンドユーザーを含む関係者と日々確認や調整を行う必要があります。また、事業者と検討や議論を行うための日次または週数回以上の打ち合わせの時間を確保することが求められます。そのためには、十分な時間と柔軟な環境が必要です。これらの準備が不十分な場合、例えば関係者との調整が遅れたり、打ち合わせの時間が確保できなかったりすると、仕様の確認や調整が滞り、プロジェクトが遅延する可能性が高まります。結果として、予定した通りの開発が進まず、プロジェクトの成功確率が大きく下がることになります。,O,,0,0,0,1634,10,O,,0,0,0,1839,15,O,,0,0,0,1052,0,O,,0,0,0,1487,7
82,it,paragraph,0,スクラムマスターがプロジェクトマネージャー（PM）と混同されることによるプロジェクト進行の混乱を避けるためには、どのような対策が考えられますか？ また、その理由を述べてください。,スクラムマスターとPMの役割の違いを周囲に明確に伝える教育セッションやワークショップを設けることが重要です。スクラムマスターは対等な立場でチームをサポートし、指示をすることなくチームの自己管理を促進する役割を果たすのに対し、PMは指示や指揮を行う責任者であるため、これらの役割の違いを理解してもらうことで、誤解に基づく不要な干渉や混乱を避けることができます。また、プロジェクトの初期段階で役割分担を明確にすることも効果的です。,O,,0,0,0,1161,6,O,,0,0,0,1007,0,O,,0,0,0,390,0,O,,0,0,0,500,2
83,it,paragraph,1,アジャイル開発において、プロダクトバックログとWBSの違いを説明し、それぞれのアプローチについて説明してください,プロダクトバックログは、現段階の関心事を反映した『やるべきことリスト』であり、タスクが発生するたびに追加されるボトムアップ的なアプローチを取ります。一方、WBS（Work Breakdown Structure）は、プロジェクトを階層的に要素分解し、下位レベルの要素を足し合わせて上位レベルと一致させる『100%ルール』に従ったトップダウン的なアプローチです。,O,100.0,0,0,0,1447,5,O,100.0,0,0,0,1628,11,O,100.0,0,0,0,404,2,O,100.0,0,0,0,415,2
84,it,paragraph,1,GIGAスクール構想における学習系データと校務系データの連携の難しさについて、その原因と具体的な問題点を挙げて説明してください。,GIGAスクール構想では、1人1台端末と高速ネットワークの整備が進められており、学習系データが大量に生成されていますが、学習系と校務系ネットワークが分離されているため、円滑なデータのやり取りが難しい状況にあります。この分離の主な原因は、セキュリティの確保が求められるため、中間サーバなどを設置してデータ連携を実現しようとしても、コスト負担が大きいことやリアルタイム連携が難しい点などが挙げられます。また、中間サーバは特定のデータのみを通す前提で構築されるため、連携対象データを追加する際にはシステム変更が必要となります。このように、ネットワーク分離により、校務と教務で別々の端末を使用せざるを得ないケースが多く、整備コストや業務負担が増加するという問題が発生しています。,O,100.0,0,0,0,1180,2,O,0.0,0,0,0,1261,0,O,100.0,0,0,0,1135,8,O,100.0,0,0,0,802,5
85,it,table,0,ネットワーク分離による課題として挙げられている、校務系システムと学習系システムの間でデータのやり取りが困難である点について、具体的にどのような業務上の無駄やコスト増加が発生するかを詳しく説明してください。,校務系システムと学習系システムの間でデータのやり取りが困難なため、例えば校務系システムへ入力したデータを学習系システムで利用する場合、それぞれ別々の端末でアクセスしなければならないことから、同じデータを改めて入力する必要があります。このため、二重入力による業務上の無駄が発生し、またUSB等でデータを受け渡す必要があるため、情報漏えいのリスクも増加します。さらに、中間サーバを導入することでデータの円滑なやり取りを実現しようとすると、追加のコストが発生し、リアルタイム連携も難しいという課題があります。,O,,0,0,0,811,0,O,,0,0,0,944,0,O,,0,0,0,839,2,O,,0,0,0,591,0
86,it,image,0,「人為的な脅威」による情報漏洩の原因として挙げられるものは何ですか？,悪意のある他者や関係者の過失、媒体の紛失（業務用端末、USBメモリなど）です。,X,,0,0,0,338,5,O,,0,0,0,358,4,O,,0,0,0,208,4,O,,0,0,0,240,1
87,it,paragraph,0,ゼロトラストセキュリティの観点から、端末レベルでの安全性を向上させるためにモバイル端末管理(MDM)とEDRを組み合わせる利点を説明して下さい。,MDMを導入することで、各種セキュリティ設定やアップデートの一元管理が可能となり、端末ごとの設定の違いによるセキュリティホールの発生を防ぐことができます。また、紛失や盗難時には遠隔でデータの消去が行えるため、データ保護が強化されます。一方、EDRを併用することで、既知のパターンファイルにない未知のマルウェアや不審な挙動を検出し、それに対処することができるため、より強固なセキュリティが実現されます。,O,,0,0,0,1286,8,O,,0,0,0,1165,6,O,,0,0,0,1133,3,O,,0,0,0,1209,5
88,it,paragraph,0,校務DXにおいて、ネットワークや利用端末のセキュリティを強化したい。児童生徒の学習履歴など、機密度の高い情報にアクセスを制限する際に、どのようなセキュリティ対策機能を組み合わせるべきか。,機密度の高い情報へのアクセスを制限するには、技術的対策として多要素認証やSSO、通信経路の暗号化、Webフィルタリングなどの手法を組み合わせることで、認証の強度を高め、通信の安全性を確保することが重要です。また、MDMやアンチウイルス、データ暗号化、IDS/IPSによる総合的な端末管理と不正アクセス防止策が必要です。一方、利用者である教職員や児童生徒のリテラシーを向上させることで、これらの技術的対策が効果的に機能し、セキュリティの実効性が高まります。例えば、利用者に対し多要素認証の重要性を理解し正しく使用する方法を徹底することで、認証技術の優位性が発揮されます。,O,,0,0,0,1228,16,O,,0,0,0,1196,17,O,,0,0,0,704,12,O,,0,0,0,1061,23
89,it,image,4,小学校と中学校の校務におけるクラウドサービスの活用状況について、最も活用が進んでいる校務、活用が進んでいない校務は何ですか？小学校、中学校それぞれ具体的な調査数値も含めて提示してください。,小学校で最も活用が進んでいる校務は「資料や教材等の教師間での共有のデジタル化」で85.9%、最も活用が進んでいない校務は「保護者面談の日程調整のデジタル化」で7.9%です。中学校で最も活用が進んでいる校務は「児童生徒向けアンケートのデジタル化」で85.3%、最も活用が進んでいない校務は「保護者面談の日程調整のデジタル化」で9.4%です。,X,50.0,0,0,0,750,18,X,50.0,0,0,0,671,18,X,100.0,0,0,0,935,35,X,100.0,0,0,0,1177,33
90,it,paragraph,0,クラウドサービスの普及に伴って、社会にどのような影響があったとされていますか？,クラウドサービスの普及に伴い、自治体や企業がオンプレミス環境からクラウド環境へ移行し、リモートワークやリモート授業が可能になりました。また、社会全体のデジタル化を支える重要な基盤となっており、新型コロナウイルス感染症の対応においてもクラウドサービスが不可欠な役割を果たしたとされています。,O,,0,0,0,441,3,O,,0,0,0,778,5,O,,0,0,0,375,0,O,,0,0,0,508,1
91,it,paragraph,0,「クラウド・バイ・デフォルト原則」とは何ですか？,「クラウド・バイ・デフォルト原則」とは、政府情報システムを整備する際に、クラウドサービスの利用を第一候補とする考え方です。,O,,0,0,0,275,3,O,,0,0,0,312,1,O,,0,0,0,107,0,O,,0,0,0,292,1
92,it,table,0,通信サービスの基本料金プランの申込みや利用に際して、どのような前提条件や制約条件がありますか？,契約者の年齢などにより基本料金プランの申込みに前提条件や制約条件がある場合、それらの事項が明示されます。また、基本料金プランの適用時期に条件がある場合や、併用不可能な料金プランやサービスがある場合も、その条件が記載されます。,O,,0,1,0,643,2,O,,0,0,0,736,3,O,,0,0,0,369,1,O,,0,0,0,365,1
93,it,image,1,「ステップ2: 安全防護」とはどういう意味ですか？,「ステップ2: 安全防護」とは、危険が発生する可能性がある場合に、そのリスクを防ぐための対策を講じることです。これは、危険の発生を防止するための次の段階の対策です。,O,100.0,0,0,0,117,2,O,100.0,0,0,0,257,2,O,100.0,0,0,0,154,2,O,100.0,0,0,0,396,3
94,it,image,0,IoTの「使用時の残留リスク」とは何ですか？,「使用時の残留リスク」とは、遠隔操作に伴うリスク低減策を講じた後でも、完全に排除できないリスクのことです。,X,,0,0,0,52,0,O,,0,0,0,224,0,X,,0,0,1,63,0,O,,0,0,0,476,4
95,it,table,0,AIが社内業務の効率化の活用例として、翻訳、文案作成の他に3つの例を挙げてください。,文章チェック、効率化、自動化が挙げられます。,O,,0,0,0,313,4,O,,0,0,0,278,1,O,,0,0,0,100,3,O,,0,0,0,129,4
96,it,table,0,IaaSとオンプレミスの違いをインフラ管理の観点から説明してください。,IaaSは利用者にCPU機能、ストレージ、ネットワークなどの基礎的な情報システムリソースを提供し、利用者はそのリソース上にOSや任意の機能を構築可能なクラウドサービスです。一方、オンプレミスは従来型の構築手法で、アプリケーションごとに個別の動作環境（データセンター、ハードウェア、サーバ等）を準備し、自らコントロールするものです。,O,,0,0,0,1293,0,O,,0,0,0,1208,0,O,,0,0,0,812,3,O,,0,0,0,552,0
97,it,paragraph,0,クラウド・バイ・デフォルト原則の利用検討プロセスにおいて、対象となるサービスや業務の基本属性を明確化するために具体的にどんな情報が必要ですか？具体例を挙げて説明してください。,クラウド・バイ・デフォルト原則の利用検討プロセスにおいて、対象となるサービスや業務の基本属性を明確にするためには、次のような情報が必要です。まず、主なサービス利用者が誰であるか（例えば国民向けサービスか職員向けサービスか）や、その利用者の詳細情報が必要です。また、インターネット利用を前提とした業務かどうかや、サービスの種別（例: 特定の業務かコミュニケーション系か）などを把握する必要があります。さらに、他のサービスやシステムとの連携性についても考慮することが求められます。,O,,0,0,0,1590,22,O,,0,1,0,1551,24,O,,0,0,0,975,13,O,,0,0,0,554,13
98,it,paragraph,0,省庁のパブリック・クラウドのグループ利用のメリットや、各省庁に求められる対応について説明してください。,グループ利用の場合、府庁PMOがクラウドサービスを一括して調達し、各PJMOにリソースを分配・管理します。これによりITガバナンスが強化され、各プロジェクトがITガバナンスの一貫性を保ちながら運営されることが可能になります。具体的な利点としては、個々のPJMOが個別にクラウドサービスを調達する手間が省けること、ITガバナンスが統一されること、そして情報セキュリティ対策の標準化と高い水準の情報セキュリティ対策を担保できることが挙げられます。一方で、PMOの介入により調達手続きが煩雑になることや即時性、柔軟性が失われるリスクもあります。こうした介入は、全体の管理効率を上げる反面、各プロジェクトが迅速かつ柔軟に最新技術を導入する障害となる可能性があります。,O,,0,0,0,898,5,O,,0,0,0,841,8,O,,0,0,0,416,0,O,,0,0,0,354,5
99,it,paragraph,0,独自システムの構築が必要な小規模システムの場合、IaaS/PaaSを利用することが望ましい理由について、情報セキュリティとコスト面の観点から説明してください。,独自システムの構築が必要な小規模システムが、独自にインフラ環境を構築し、または管理機能や情報セキュリティ対策を行うことは、コスト面において非効率となることがある。また、情報セキュリティや運用性が不十分になる可能性がある。そのため、SaaS利用で代替できない小規模システムは、これらの課題を解決するためにIaaS/PaaS(プライベート・クラウド)を利用することが望ましい。,O,,0,1,0,955,0,O,,0,1,0,905,1,O,,0,0,0,343,0,O,,0,0,0,394,0
100,it,paragraph,0,通信事業者が広告にベストエフォートという用語を用いる場合、一般消費者にどのような配慮が必要か。,電気通信事業者が広告表示において「ベストエフォート型サービス」の用語を用いる場合には、一般消費者によるサービス内容の誤解を防ぐよう、単純に「ベストエフォート型サービス」と表示するのみでは表示として不十分です。電気通信サービスの品質が通信環境によって変化し得るものであること等、一般消費者が理解できるよう用語の意味をわかりやすく示す必要があります。,O,,0,0,0,1045,7,O,,0,1,0,836,6,O,,0,0,0,930,10,O,,0,0,0,835,13
101,it,paragraph,2,自動的に通信網を切り替えて緊急通報を行うようなIP電話向けのサービスを提供している。IP電話について広告を行う場合、広告表現について何か配慮する必要はあるか。配慮が必要な場合、どのような表現が望ましいか例を提示してください。,IP電話経由では緊急通報ができないが「110番」「119番」等の番号をダイヤルした場合には自動的に他の通信網に迂回して緊急通報を可能とする機能を有するサービスを提供している場合、「緊急通報ができる」旨の表示を行おうとするときは、例えば「自動的に他の通信網に迂回すること」を表示するなど、その条件を明らかにしておく必要があります。表事例：：「『１１０番』『１１９番』等の緊急通報、フリーダイヤル等の特別番号、携帯電話・ＰＨＳ、○○○、○○○にかけた場合、自動的にお客様がご契約の一般電話に切り替わっての接続となります。」,O,100.0,0,0,0,1202,21,O,100.0,0,0,0,1110,12,O,100.0,0,0,0,408,6,O,100.0,0,0,0,707,3
102,it,table,5,携帯電話サービスをテレビCMとして流したい場合、自主基準ガイドラインに関する情報は何秒表示すれば良いでしょうか。また、表示文字数に関する基準があれば教えてください。,2秒以上表示する必要があります。また、文字数は１行３０文字までとし、画面アスペクト比４：３においても１行３０文字までです。複数行など１画面計３０文字以上を表示する場合は２秒を超える露出とし、視認できる露出時間を十分に確保するものとします。文字数は全角・半角・記号とも 1 文字とカウントし、スペースはカウントしません。,O,60.0,0,0,0,361,10,O,60.0,0,0,0,370,10,O,60.0,0,0,0,139,5,O,100.0,0,0,0,316,12
103,it,table,0,スマートフォンの端末の広告チラシを作成しています。端末に搭載しているカメラ機能に関して、記載ルールはありますか？,"記載あルールがあります。表示事項項目名称は「カメラ」としてください。デジタルカメラの性能において最も普遍的である画素数の単位は「○画素
（※）」とします。（※）総画素数のみの表示は不可とし併記または有効画素数のみの表示とする。
カメラの使用上の制約事項（携帯電話サービスの解約後や SIM カードを抜いた状態では使用不可等）があれば記載します。オートフォーカス機能の有無、ストロボ機能の有無など、利用者にとって重要と思われる機能は付記してください。",O,,0,0,0,363,1,O,,0,0,0,411,1,O,,0,0,0,373,5,O,,0,0,0,437,2
104,it,paragraph,0,IoTガイドラインにおける「主に間接的な被害」のリスク低減のために、製造事業者と使用者がそれぞれとるべき具体的な対策は何ですか？,"「主に間接的な被害」は、安全規格等の遵守だけではリスク低減はできず、製造事業者による予防安全機能及び使用者が注意して使用することによってリスクを低減します。
製造事業者は予防安全機能を搭載することでリスクを低減します。また、使用者は注意書などを良く理解して使用することが求められます。",O,,0,0,0,859,16,O,,0,0,0,944,8,O,,0,0,0,276,0,O,,0,1,0,520,2
105,it,image,3,IoTガイドラインにおけるスリーステップメソッドの各ステップがどのように製品の全体的な安全性の向上に寄与するか、説明してください。,スリーステップメソッドの各ステップは互いに補完し合い、製品の全体的な安全性を向上させる役割を果たします。ステップ1では、本質的な安全設計を行います。ステップ2は、安全防護が目的で、製品に安全装置を取り付けることが必要です。ステップ3では、製品の使用上の注意を喚起するため、使用上の注意（誤使用防止）の表示、予防安全機能の実装、使用上の注意（過信に注意）の表示を行います。これにより、各ステップが総合的に製品の安全性を確保することができます。,O,100.0,0,0,0,1151,8,O,100.0,0,0,0,1269,8,O,100.0,0,0,0,591,7,O,33.3,0,0,0,782,2
106,it,paragraph,1,「遠隔操作に不向きな機器」とはどのような機器を指すか。具体的に説明してください。,「遠隔操作に不向きな機器」を次の３つに分類しており、① 人の注意が行き届くところで使うことを前提に安全設計しているもの、② 比較的長時間運転の機器で遠隔操作のリスクを十分に低減できないもの、③ 比較的長時間運転の機器で遠隔操作ではその機能／役割を果たせないもの、または機器の機能、役割から遠隔操作する意味がないものが該当します。,O,100.0,0,1,0,845,5,O,0.0,0,0,0,873,0,O,100.0,0,0,0,617,6,O,100.0,0,0,0,471,5
107,it,paragraph,6,脆弱性対策情報データベースに2024年第2四半期に登録された総脆弱性対応情報の件数は何件ですか？情報の収集元別の件数も教えてください。,"2024年第2四半期中にJVN iPediaに登録された脆弱性対応情報の総数は1,463件です。情報収集元別に分けてみると、国内ソフトウェア開発者が公開した情報は1件、JVNで公表した情報は87件、NVDで公開した情報は1,375件です。",O,100.0,0,0,0,307,16,O,100.0,0,0,0,398,20,O,100.0,0,0,0,156,11,O,100.0,0,0,0,199,18
108,it,paragraph,4,2024 年第 2 四半期に登録された脆弱性対策情報のうち、最も多い件数を占めた脆弱性タイプは何ですか？また、その脆弱性は悪用された場合に具体的にどのような被害が生じる可能性がありますか？,2024 年第 2 四半期に登録された脆弱性対策情報の中で、クロスサイトスクリプティング(CWE-79)が256件と最も多くありました。この脆弱性が悪用されると、偽のウェブページが表示されたり、ユーザーの個人情報が漏洩するおそれがあります。,O,50.0,0,0,0,133,2,O,50.0,0,0,0,133,2,O,100.0,0,0,0,309,13,O,100.0,0,1,0,340,13
