idx,domain,type,target_file_name,target_page_no,question,target_answer,answer,latency_sec,prompt_tokens,completion_tokens,total_tokens,error
181,public,paragraph,000761091.pdf,21,2020年の新型コロナウイルス流行時、感染者が発生した際に保健所は他の機関と連携してどのような対応を行なっていましたか？,保健所は主に疫学調査を担当し、感染経路を特定し、接触者を追跡します。その結果、保健所は感染者を隔離し、同時に施設側はその状況を関連機関や医療スタッフに通知し、利用者とその家族にも状況を伝えます。感染者の隔離は保健所の指示に従って行われ、その後、入院が必要な場合はbo施設と協力して入院病院と移送手順を決定します。,"2020年の新型コロナウイルス流行時、感染者が発生した際に保健所は以下のような連携対応を行っていました。

| 連携先 | 主な対応内容 |
|--------|--------------|
| **施設（介護・医療等）** | ・感染者の隔離や入院先決定、搬送を協議・支援<br>・施設内での速やかな報告・情報共有を実施し、行政への報告も行う<br>・施設利用者が感染した場合に保健所の聞き取り調査や検体採取を協力 |
| **嘱託医・協力医** | ・感染症発生時の相談窓口として情報共有<br>・必要に応じて専門的指導や助言を提供 |
| **自治体担当部署（保健所・行政）** | ・感染症発生の早期探知に向けて施設からの相談を受け、情報共有<br>・感染症発生時に迅速な連絡と専門的指導、施設訪問・改善支援を実施 |
| **利用者および家族** | ・感染者の健康観察やPCR検査結果を連絡<br>・濃厚接触者への対応協力（健康観察、検査） |
| **他の法人口座・事務所** | ・感染者がサービスを利用している他機関への連絡<br>・必要に応じて情報共有と協力を要請 |
| **保健所各課** | ・事前準備段階で担当業務を確認し、関係者と情報共有<br>・研修会や協議会で地域の課題を共有し、対策を検討 |

また、保健所は感染症発生時に以下の疫学調査を実施し、原因究明と対策立案に寄与しました。

- 患者本人の症状、行動経過
- 施設全体・フロア別・部屋別の発生状況
- 受診状況、診断名、検査結果、治療内容
- 普段の健康観察結果との比較

これらを通じて、感染拡大防止と地域内の早期探知・対策を図っていました。",7.9,2746,1204,3950,
182,public,image,000857916.pdf,6,デジタル手続法に基づいて、行政のデジタル化を推進するために必要となる基本原則と施策について、具体的な例を挙げて説明してください。,デジタル手続法に基づく基本原則は、情報通信技術の活用による行政手続の利便性向上と行政運営の効率化です。具体例として、行政手続のオンライン化を原則とし、添付書類の撤廃やデジタル・デバイドの是正を図っています。また、民間手続における情報通信技術の活用も促進しています。,"**デジタル手続法（令和元年法律第16号）に基づく行政デジタル化の基本原則と施策**

| 基本原則 | 具体的な施策・例 |
|---|---|
| **① 情報システム整備計画に従うこと** | 国の行政機関は「情報システム整備計画」に沿って、必要な情報システムを整備し、更新・運用する。例：地方公共団体が「情報システム共通機能標準仕様書」に基づき、ガバメントクラウド申請管理機能を導入し、オンラインでの手続受付・処理を実現。 |
| **② 情報通信技術（ICT）の活用による手続のオンライン化** | 国は地方公共団体がICTを利用した手続等に係る情報システム整備や施策を支援する。例：地方公共団体が「デジタル社会の実現に向けた重点計画」に示された優先手続（図書館の貸出予約、文化・スポーツ施設利用予約、自動車税申告等）をオンライン化し、住民がマイナポータルからマイナンバーカードで手続できるようにする。 |
| **③ 住民の利便性向上を最優先** | 「デジタル社会の実現に向けた重点計画」では、処理件数が多く利便性・業務効率化効果が高い手続を優先的にオンライン化することを定めている。例：地方税申告手続（eLTAX）や自動車税環境性能割の申告納付をオンライン化し、窓口での待ち時間や紙書類の提出を削減。 |
| **④ 書面規制・押印・対面規制の見直し** | 「デジタル社会の形成を図るための関係法律の整備に関する法律（令和３年法律第37号）」で、押印を不要とし、書面の交付等を電子的方法により行うことが可能になる。例：市町村の各種申請書類を電子署名で代替し、紙の押印や対面確認を削減。 |
| **⑤ 連携・標準化によるシステム統合** | デジタル庁が提供する「地方公共団体情報システム共通機能標準仕様書」に基づき、自治体の基幹システムとサービスをエンドツーエンドで接続。例：自治体の住民基本台帳とマイナポータルを連携させ、本人確認や情報取得を一元化。 |
| **⑥ 連携・ガイドライン作成による支援** | デジタル庁及び総務省は、地方公共団体が優先的にオンライン化を推進できるよう、関係府省庁と連携しガイドラインの作成等で支援。例：地方公共団体向けに「オンライン化推進マニュアル」を提供し、手続のデジタル化フローや必要なシステム要件を示す。 |
| **⑦ 継続的なデジタル規制改革** | 令和５年に成立した「デジタル規制改革推進の一括法」により、将来にわたってデジタル技術の進展を踏まえた見直しが自律的かつ継続的に行われる。例：アナログ規制を横断的に見直し、2024年6月までにアナログ規制を一掃する計画。 |

**まとめ**

デジタル手続法は、行政機関が情報システム整備計画に従いICTを活用した手続のオンライン化を推進し、住民の利便性向上と業務効率化を図ることを基本原則としている。具体的施策としては、優先手続のオンライン化（eLTAX、自動車税申告等）、書面・押印・対面規制の見直し、標準化されたシステム連携、ガイドライン作成による支援、そして継続的なデジタル規制改革が挙げられる。これらを実行することで、行政サービスのデジタル化が進み、住民はマイナポータルやマイナンバーカードを利用してスムーズに手続きできるようになる。",17.6,10121,2192,12313,
183,public,paragraph,000857916.pdf,11,自治体がオンライン化を進める際にBPR(業務プロセス再構築)と併せて取り組む重要性を説明し、具体的な施策例を3つ挙げてください。また、法令やガイドラインに基づいた具体的な措置についても言及してください。,"オンライン化を進める際にBPR(業務プロセス再構築)と併せて取り組むことが重要な理由は、単に既存の手続きをデジタルに置き換えるだけでは、根本的な効率化や利便性向上が達成されないためです。以下の3つの施策は具体的な例です。
1. 書面規制の見直し: 従来紙で行っていた申請や報告を、電子文書やシステムで処理可能にする。
2. 押印規制の撤廃: 書類に対する物理的な押印を不要とし、電子署名や認証システムで代替する。
3. 対面規制の見直し: 窓口での対面手続きをオンラインで完結できるようにし、必要な場合のビデオ会議システムの導入。
さらに、『デジタル社会の形成を図るための関係法律の整備に関する法律(令和3年法律第37号)』では48の法律を改正し、押印を求める各種手続きについてその押印を不要としました。そして、内閣府が発出した『地方公共団体における押印見直しマニュアル』に示された推進体制や作業手順を参考にすることも有効です。","自治体が行政手続をオンライン化する際に **BPR（業務プロセス再構築）と併せて取り組むことが重要** である理由は、単に「紙をデジタル化する」だけではなく、**業務フロー自体を抜本的に見直し、エンドツーエンドでデジタル化・業務改革を実現する** ことが求められるためです。  
文書の「3. 自治体における行政手続のオンライン化の取組方針」では、  
> 「既存の行政手続を前提とするのではなく、業務内容や業務プロセス等を抜本的に見直し、再構築するいわゆるBPRの取組みとあわせて行うことが重要である。」  
という記述があります。BPRを伴わない単なるデジタル化は、書類の電子化やオンラインフォームの導入に留まり、業務効率化やサービス向上につながりにくいと指摘されています。

---

## 具体的な施策例（3つ）

| # | 施策 | 内容 |
|---|------|------|
| 1 | **書面規制・押印・対面規制の見直し** | 「デジタル社会の形成を図るための関係法律の整備に関する法律（令和３年法律第37号）」で、押印を求める各種手続の押印不要化と、書面交付等を電子的方法で行うことを可能にした。自治体は「地方公共団体における書面規制、押印、対面規制の見直しに係る留意事項（令和２年７月７日 総行第169号）」を参考に、書面規制・押印・対面規制の見直しを積極的に実施。 |
| 2 | **本人確認・手数料納付のオンライン化** | 国が定めた「行政手続におけるオンラインによる本人確認の手法に関するガイドライン」（平成31年2月25日）を基に、本人確認のオンライン化を推進。手数料納付はインターネットバンキング等の活用を検討。 |
| 3 | **添付書類の省略・電子提出** | 添付書類の必要性を精査し、情報連携等で省略できるものは省略。省略が困難な添付書類については、eメールでの提出や簡易申請ウェブサイトによるオンライン提出を可能にし、**「少なくとも申請者がオンラインで提出することを可能とする」** という方針に沿って実施。 |

---

## 法令・ガイドラインに基づく具体的措置

1. **「デジタル社会の形成を図るための関係法律の整備に関する法律（令和３年法律第37号）」**  
   - 押印を求める手続の押印不要化  
   - 書面交付等を電子的方法で行うことの許容  

2. **「地方公共団体における書面規制、押印、対面規制の見直しに係る留意事項（令和２年７月７日 総行第169号）」**  
   - 書面規制・押印・対面規制の見直しを自治体が積極的に実施するための留意事項  

3. **「行政手続におけるオンラインによる本人確認の手法に関するガイドライン」（平成31年2月25日）**  
   - 本人確認のオンライン化に関する具体的手法と実施指針  

4. **「地方公共団体における押印見直しの変更等を含めた業務改革（BPR）の実施を前提に」**  
   - 本人確認、手数料納付、添付書類省略等を同時に推進する方針  

これらの法令・ガイドラインは、自治体がオンライン化を進める際に **BPRと併せて取り組むべき具体的な措置** を示しており、行政手続のデジタル化を単なる書類電子化ではなく、業務プロセス全体の再設計と連動させることで、効率化・利便性向上を実現するための根拠となります。",18.7,12708,2169,14877,
184,public,paragraph,000857916.pdf,12,地方自治体が「本人確認のオンライン化」「手数料納付のオンライン化」「添付書類の省略」を同時に推進するためには、どのように取り組む必要があるか。,地方自治体が「本人確認のオンライン化」「手数料納付のオンライン化」「添付書類の省略」を同時に推進するために直面する課題としては、システムの導入と運用に係るコスト、既存の業務フローの見直しによる一時的な作業負荷の増加、そしてセキュリティの確保が挙げられます。これに対する対策としては、国が定めたガイドラインに従い、システム全体のセキュリティを確保し、行政機関間の情報連携を強化することで効率化を図ることが必要です。また、インターネットバンキングなど既存のオンライン決済手段を活用し、住民がオンラインで簡単に手続きを完了できるようにすることが求められます。,"地方自治体が「本人確認のオンライン化」「手数料納付のオンライン化」「添付書類の省略」を同時に推進するためには、以下のような取り組みが必要です。

| 目的 | 具体的な取り組み |
|------|------------------|
| **本人確認のオンライン化** | 1. 国が示す「行政手続におけるオンラインによる本人確認の手法に関するガイドライン」（平成31年2月25日）を参照し、自治体独自の実装方針を策定。<br>2. マイナンバーカードやマイナポータルを活用し、オンラインで本人確認が完結できる仕組み（例：マイナンバーカード認証）を導入。 |
| **手数料納付のオンライン化** | 1. インターネットバンキングや決済サービス（例：PayPay、コンビニ決済）を活用し、手数料納付がオンラインで完結できるようにする。<br>2. 既存の紙ベースの納付フローを見直し、オンライン決済に必要なシステム連携（API等）を構築。 |
| **添付書類の省略** | 1. 添付書類が本当に必要かを精査し、不要なものは省略。<br>2. 省略が難しい添付書類については、e‑メールでの提出や簡易な申請ウェブサイトからのオンライン提出を可能にする。<br>3. 可能な限り、行政機関間の情報連携を活用し、申請者がオンラインで提出できるようにする。 |
| **総合的なBPR（業務改革）** | 1. 「書面規制・押印・対面規制の見直し」を含む業務プロセスを抜本的に再設計。<br>2. 「申請自体を不要とすることはできないか」など利用者目線での業務改革も検討。<br>3. 事務フローを紙前提からエンドトゥエンドのデジタル化へ移行し、職員の工数削減を視点に置く。 |
| **推進体制とガバナンス** | 1. DX推進担当部門や情報政策担当部門を中心に、全庁的・横断的な推進体制を立ち上げる。<br>2. CIOや上位層からのガバナンスを確立し、職員全体に同じ意識で浸透させる。 |
| **法令・制度の見直し** | 1. 必要に応じて地方分権改革における提案募集方式（内閣府）を活用し、国への事務・権限移譲や規制緩和を求める。<br>2. 「デジタル手続法」や「デジタル行政推進法」に基づき、情報システムの整備を実施。 |

これらの取り組みを統合的に進めることで、本人確認・手数料納付・添付書類のオンライン化を同時に実現し、行政手続全体のデジタル化・業務改革（BPR）を推進できます。",16.2,13252,1579,14831,
185,public,image,000857916.pdf,17,住民基本台帳法の改正に伴い、マイナンバーカード所持者がマイナポータルからオンラインで転出届と転入予約を行う際に、転入地市区町村はどのような情報を基に事前準備を行うのか説明してください。,マイナンバーカード所持者がマイナポータルからオンラインで転出届と転入予約を行う際、転入地市区町村は通知された転出証明書情報（氏名、生年月日、続柄、個人番号、転出先、転出の予定年月日など）を基に事前準備を行います。この情報に基づいて市町村は、転出および転入手続の迅速な処理が可能となり、窓口での混雑が緩和されます。また、手続き当日に処理すべき事務負担が軽減され、市町村の事務効率が向上します。,"マイナンバーカード所持者が **マイナポータル** からオンラインで転出届と転入予約を行う際、**転入地市区町村は以下の情報を基に事前準備を行います**。

| 情報 | 内容 |
|------|------|
| **転出証明書情報** | 転出者が転出届を提出した市区町村から発行される「転出証明書」の内容（転出者の氏名・住所・転出日等） |
| **転入予約情報** | 転入者がマイナポータル上で提出した「転入予約」の情報（転入者の氏名・住所・転入予定日等） |

これらの情報は、**マイナポータルから転入地市区町村へ事前に通知される**ため、転入地は転出証明書情報と転入予約情報を受け取り、**事前に必要な手続きや準備（住民票の移動・転入届受理体制の整備等）を行う**ことができます。",8.8,11033,620,11653,
186,public,table,000857916.pdf,18,方式Aといわれる方法で、申請データを申請管理システムに取り込み、既存住記システム等の改修を行い、さらに基幹システムと接続してエンドトゥエンドのオンライン接続を実現することを検討しています。補助金の対象になりますか？,補助金対象です。,"はい。  
表 18‑1 の **Ａ** 行は「補助金対象」に ○、かつ「基幹システム改修」に ○ が記載されているため、方式A（申請データを申請管理システムに取り込み、既存住記システム等の改修を行い、さらに基幹システムと接続してエンドトゥエンドのオンライン接続を実現する方法）は補助金の対象になります。",6.8,10949,251,11200,
187,public,image,000857916.pdf,21,マイナンバー利用事務系の申請管理システムについて、番号紐付情報はどのように連携する必要がありますか？,番号を紐づける方法は2つあります。1つは、API連携を行う方法です。「地方公共団体情報システム共通機能標準仕様書」に規定されたAPI連携を実装します。もう1つは、ファイル連携を行う方法です。過渡的な対応として、番号紐付け情報のファイル連携を行い、申請管理システムが番号紐付け情報を保持するようにします。,"マイナンバー利用事務系の申請管理システムにおいて、**番号紐付情報は「個人番号」と「団体内統合宛名番号」を別途管理するシステムで連携させる必要があります**。  

- **中間サーバ（情報連携用）では個人番号そのものを保有できず**、各地方公共団体において「団体内統合宛名番号」と符号（情報提供ネットワークシステムにおける見えない番号）を紐付けて管理します。  
- したがって、申請管理システム側では「個人番号 ↔ 団体内統合宛名番号」の紐付けを行う専用システム（団体内統合宛名システム）が必要であり、これを通じて申請データと個人番号情報が安全に連携されます。  

このように、**個人番号と団体内統合宛名番号の紐付けを管理するシステムが、申請管理システムと情報連携サーバの間で必要な番号紐付情報を連携させる役割を担います**。",8.6,9078,668,9746,
188,public,table,000857916.pdf,28,自治体のオンライン化の取り組みについて、関係規定等の検討や整備のステップではどのようなことを実施するか教えてください。,"関係規定等の検討や整備のステップでは、次の二つの作業を行います。
・三層の対策の見直しを踏まえ、情報セキュリティポリシーを適切に見直し、変更する。
・申請様式が規則等で定められている場合に、必要に応じて規則等の改正を実施する。 ","**関係規定等の検討・整備で実施する主な作業は、以下のとおりです。**

| ステップ | 実施内容 |
|---|---|
| **① 三層の対策（マイナンバー利用事務系の分離）の見直し** | ・「3.2 三層の対策の見直し（マイナンバー利用事務系の分離の見直し）」を参照し、現在の対策が適切かどうかを検証。<br>・必要に応じて、情報セキュリティポリシーを見直し、変更。 |
| **② 情報セキュリティポリシーの適切な見直し・変更** | ・オンライン化に伴う情報セキュリティ要件を整理。<br>・既存ポリシーに不足があれば、追加・修正を実施。 |
| **③ 規則等の改正（申請様式が規則で定められている場合）** | ・オンライン化に伴い、紙ベースの申請様式や手続きが規則で定められている場合、該当規則を改正。<br>・電子申請に対応した新しい手続きフローや書式を定める。 |

> **ポイント**  
> - これらの作業は、オンライン化を実施する前に「関係規定等の検討・整備」フェーズで行うことで、法令遵守と業務プロセスの整合性を確保します。  
> - 具体的には、三層対策の見直しを通じて情報セキュリティポリシーを更新し、必要に応じて規則等の改正を実施するという流れです。",10.5,9722,866,10588,
189,public,paragraph,000857916.pdf,34,マイナポータル申請管理とは、どのような仕組みか。その仕組みが作られた背景も含め、具体的に説明してください。,住民がマイナポータル（ぴったりサービス）を利用し、インターネット経由で行われた行政サービスに関する電子データを、地方公共団体が LGWAN を通じてダウンロードなどができるサービスを「マイナポータル申請管理」といいます。 令和３年度に、マイナポータルにおいて全自治体との接続環境が整備され、既存の省庁連携基盤を活用することで LGWAN経由でマイナポータルが全自治体と接続できるようになるため、全ての地方公共団体が LGWAN-ASP サービスを個別に調達することなくオンライン申請の受付が可能となったことを背景に、整備されました。,"**マイナポータル申請管理とは**

| 仕組み | 内容 |
|---|---|
| **接続環境** | LGWAN 経由でマイナポータルと全自治体が接続できるようにし、地方公共団体は LGWAN‑ASP サービスを個別に調達せずにオンライン申請の受付が可能になる。 |
| **データ取得手段** | ① WEB サイト（ブラウザ操作）で利用できるインターフェース、② 外部接続インターフェースとして「申請処理状況登録API」が提供される。 |
| **機能** | ① マイナポータルからの申請データを特定通信で申請管理システムに取り込み、格納する機能の構築。<br>② 既存住基システム等の改修を行い、申請管理システムと基幹システムとの接続を実現し、エンドトゥエンドのオンライン接続を積極的に検討。 |

**仕組みが作られた背景**

1. **令和３年度に全自治体との接続環境が整備**  
   - 既存の省庁連携基盤を活用し、LGWAN 経由でマイナポータルと全自治体が接続できるようにした。  
   - これにより、地方公共団体は個別に LGWAN‑ASP サービスを調達せずとも、オンライン申請受付が可能になった。

2. **住民のマイナンバーカード保有率向上**  
   - 令和４年度中にほとんどの住民がマイナンバーカードを保有すると想定。  
   - 住民がマイナンバーカードを最大限に活用できるよう、自治体は「マイナポータルからの申請データを特定通信で申請管理システムに取り込む」機能や既存住基システムの改修を行い、オンライン手続受付体制を整備する必要がある。

3. **行政運営の簡素化・効率化**  
   - 申請管理システムと基幹システムを接続し、処理件数等を勘案した上でエンドトゥエンドのオンライン接続を実現することで、行政運営の簡素化・効率化に資する。  

4. **国の支援策**  
   - 「自治体の行政手続のオンライン化に係る申請管理システム等の構築に関する標準仕様書」（令和３年９月30日総務省）で、上記機能の構築方法（方式３・４）が示されている。  
   - これにより、自治体は標準仕様書を参照しながら「マイナポータル申請管理」を導入できる。

**まとめ**

- **マイナポータル申請管理は、LGWAN 経由でマイナポータルと自治体を接続し、申請データを特定通信で申請管理システムに取り込み、基幹システムと連携させることでエンドトゥエンドのオンライン接続を実現する仕組み**です。  
- その背景には、全自治体の接続環境整備、住民のマイナンバーカード保有率向上、行政運営効率化への期待、および国が示す標準仕様書に基づく支援策があります。",13.9,8208,1697,9905,
190,public,table,000956094.pdf,1,ふるさと納税に係る指定制度の適正な運用を確保するための申出書の提出プロセス、および必要な書類に関する詳細な条件とその内容とは何ですか。,ふるさと納税に係る指定制度の適正な運用を確保するためには、地方団体は総務大臣への申出書を提出し、それにふるさと納税の募集の適正な実施に関する事項を記載する必要があります。申出書には以下の書類を添付し、各様式の記載要領に従って記載しなければなりません。1. 指定対象期間に受領する寄附金の見込額及びその募集に要する費用の見込額（様式1-1）2. 前年度に受領した寄附金及びその募集に要した費用（様式1-2）3. 前指定対象期間に受領した寄附金及びその募集に要した費用（様式1-3）4. ふるさと納税の募集に要した費用についての改善方策等（様式1-4）5. 指定対象期間に提供する返礼品等の内容（様式2）,"**ふるさと納税に係る指定制度の適正な運用を確保するための申出書提出プロセスと必要書類**

| 項目 | 内容 |
|------|------|
| **1. 申出書提出プロセス** | ① **提出期間**：令和６年７月１日から同月31日まで。<br>② **提出先**：地方団体（都道府県・市区町村）は、まず自らの申出書等を提出し、都道府県はそれらをまとめて「申出集計表（都道府県取りまとめ用）」に転記し、総務大臣へ提出。<br>③ **ヒアリング**：<br>&nbsp;&nbsp;・都道府県は提出内容を確認し、疑義がある場合にヒアリングや追加資料の提出を求める。<br>&nbsp;&nbsp;・総務省も必要に応じて都道府県または市区町村へヒアリングや追加資料の提出を求める。 |
| **2. 申出書に添付する必要書類** | ① **様式１－１**：指定対象期間に受領する寄附金の見込額及びその募集に要する費用の見込額（告示第２条第２号関係、省令第１条の17 第２項第１号）<br>② **様式１－２**：前年度に受領した寄附金及びその募集に要した費用（告示第２条第２号関係、省令第１条の17 第２項第２号）<br>③ **様式１－３**：前指定対象期間に受領した寄附金（見込額）及びその募集に要した費用（見込額）（告示第２条第２号関係、省令第１条の17 第２項第５号関係）<br>④ **様式１－４**：ふるさと納税の募集に要した費用についての改善方策等（告示第２条第２号関係、省令第１条の17 第２項第３号）<br>⑤ **様式２**：指定対象期間に提供する返礼品等の内容（告示第５条関係、省令第１条の17 第２項第４号） |
| **3. 申出書に記載すべき事項** | ・実施予定のふるさと納税募集方法<br>・指定対象期間を通じて各指定基準に適合してふるさと納税の募集を適正に実施する旨<br>・各指定基準への適合性（法第37条の2第3項、第314条の7第3項、省令第1条の17 第2項に基づく） |
| **4. 申出書提出後の流れ** | ・総務大臣は地方団体からの申出書等を受領し、地方財政審議会の意見を聴取した上で指定対象期間を通じて各指定基準に適合する地方団体として認められるものをふるさと納税の対象となる地方団体として指定。<br>・総務大臣は、指定をした都道府県等に対し、第一号寄附金の募集実施状況その他必要な事項について報告を求めることができ、指定の取消しも可能。 |

**まとめ**

- 申出書は令和６年７月１日から31日の間に提出し、都道府県がまとめて総務大臣へ送付する。  
- 添付書類は「様式１－１〜１－４」と「様式２」の5種類で、寄附金の見込額・実績・費用・返礼品等を網羅。  
- 申出書には実施予定の募集方法と指定基準への適合性を明記し、ヒアリング等で疑義があれば追加資料を提出。  
- 総務大臣はこれらの情報と地方財政審議会の意見を基に指定を行い、必要に応じて報告や取消しの手続きを実施。",16.8,12258,2192,14450,
191,public,image,000956094.pdf,4,人気施設の特別入場チケットを返礼品として提供する場合、入場チケットの費用は、ふるさと納税に関するどのような費用で対応すれば良いですか？また、ふるさと納税の業務を行ったスタッフに支払われる人件費はどの費用に該当しますか？,施設の入場チケットを返礼品として提供した場合は、「返礼品等の調達に係る費用」となります。また、ふるさと納税に関する業務を行ったスタッフの人件費は、「事務に係る費用」に該当します。,"- **人気施設の特別入場チケットを返礼品として提供する場合**  
  - チケットの費用は、表 4‑1 の「返礼品等の調達に係る費用」のうち  
    「**公共施設等の入場を返礼品等とする場合における公共施設等の入場料 等**」という項目で対応します。  

- **ふるさと納税の業務を行ったスタッフに支払われる人件費**  
  - その人件費は、表 4‑1 の「事務に係る費用」のうち  
    「**ふるさと納税の専任職員及び兼任職員（ふるさと納税の業務に従事する部分）の人件費**」という項目で計上します。",8.1,10864,564,11428,
192,public,table,000956094.pdf,4,令和5年10月1日から開始する指定対象期間において、ふるさと納税の募集費用の合計額が寄附金受領額の合計額の5割を超過した地方団体が指定の取消しとなる場合、その後の期間にどのような制約が課せられるか具体的に説明してください。,指定の取消しとなった地方団体は、取消しとなった日から2年を経過する日の属する月まで申出書の提出ができません。また、令和5年10月1日から開始する指定対象期間において寄附金受領額の合計額の5割を超過した場合、令和7年10月1日から開始する指定対象期間まで指定を受けることができません。,"**指定取消後に課せられる具体的な制約**

1. **申出書の提出ができない期間**  
   - 指定取消しの日から起算して **2 年を経過する日の属する月** まで、申出書（指定の申し込み）を総務大臣に提出することができません。  
   - つまり、取消し日から2 年の間は「申出書を提出できない」状態が続きます。

2. **指定の受け入れができない期間**  
   - 取消し後、**令和 7年10月1日から開始する指定対象期間** まで、地方団体はふるさと納税の指定を受けることができません。  
   - したがって、取消し後の**令和 6年10月1日から令和 7年9月30日までの指定対象期間** では、ふるさと納税に関する「指定」を受けることができず、その期間中はふるさと納税の募集を行う権限が失われます。

3. **再申請までの待機期間**  
   - 2 年の待機期間が終了した後（取消し日から2 年経過した月）に初めて申出書を提出でき、再度指定の受け入れが可能になります。  
   - ただし、その時点で再度「募集費用の合計額が寄附金受領額の合計額の5割を超過しない」ことが確認される必要があります。

**まとめ**

- 指定取消し後、**2 年の間は申出書を提出できず**、その期間中はふるさと納税の指定を受けられません。  
- 2 年が経過した月以降に申出書を提出できるようになりますが、**令和 7年10月1日から開始する指定対象期間** までは「指定を受けることができない」制約があります。  
- この期間中はふるさと納税の募集を行う権限が失われ、再度指定を受けるには上記の条件を満たす必要があります。",14.3,12831,1452,14283,
193,public,paragraph,000956094.pdf,5,地場産品基準における地域経済の活性化と関連して、返礼品が原産地外でも同様に提供されている場合、提供可能な返礼品として認められる具体的な条件は何ですか？さらに、これに関する具体的な改正点は何ですか？,"返礼品は、当該返礼品そのものが地域経済の活性化に寄与し、区域内で付加価値が生じているものである必要があります。この点、類似する返礼品が他の地方団体で提供されていることは適合の理由とはならず、原産地外でも同様に提供されているという事実自体は提供可能の根拠になりません。あくまで地域経済の活性化への寄与や区域内での付加価値の発生といった実質を、Q&A等を参照の上で適正に判断することが求められます。
具体的な改正点（令和6年6月28日付け、令和6年10月1日以後開始の指定対象期間から適用）は主に次のとおりです。告示第5条第3号では、区域内の工程が製品に実質的な変更を加えない工程にとどまる場合、製造業者により製品価値の過半が区域内で生じている旨の証明がなされたときに限り該当するものとされました。またQ&A問22の2では、区域外でも全国各地で同様の役務が提供されているものなど、地域との関連性が希薄なものは返礼品等の対象から除外することとされました。","**1. 返礼品が原産地外でも提供可能と認められる具体的条件**  
（※「地域経済の活性化」を目的とした地場産品基準第5条に基づく）  

| 条件 | 内容（文中の記載） |
|------|--------------------|
| **① 原産地内で生産されたもの** | 「当該地方団体の区域内において生産されたものであること」 |
| **② 原材料の主要部分が原産地内で生産されたもの** | 「当該地方団体の区域内において返礼品等の原材料の主要な部分が生産されたものであること」 |
| **③ 付加価値を創出する主要工程が原産地内で行われたもの** | 「当該地方団体の区域内において返礼品等の製造、加工その他の工程のうち主要な部分を行うことにより相応の付加価値が生じているものであること」<br>（ただし、工程は「当該地方団体の区域内で実質的な変更を加えるものでない工程」や「主要部分が行われること」に限定される） |

> これらのいずれかに該当する返礼品であれば、原産地外からの提供でも「地域経済の活性化」に寄与するとみなされ、地場産品基準に適合します。

---

**2. 具体的な改正点（令和6年10月1日以降の適用）**  

| 改正項目 | 変更内容（文中の記載） |
|----------|------------------------|
| **① 製造工程に関する定義の明確化** | 「当該地方団体の区域内で実質的な変更を加えるものでない工程」や「主要部分が行われること」に限定し、付加価値創出の要件を明示。 |
| **② 原材料の主要部分に関する基準** | 「原材料の主要な部分が生産されたものであること」を追加し、原産地外からの素材使用でも条件を満たせるように。 |
| **③ 付加価値創出の具体的要件** | 「主要な部分を行うことにより相応の付加価値が生じているものであること」を明記し、工程の実質性を評価基準に組み込む。 |
| **④ 例外的なケースの明示** | 「当該地方団体の区域内で実質的な変更を加えるものでない工程」や「主要部分が行われること」に関する例外を明示し、判断の一貫性を確保。 |

> これら改正により、原産地外からの素材や製造工程を利用した返礼品でも、地域経済活性化に寄与するかどうかを判断しやすくなり、基準適合性の審査が明確化されました。",36.1,11706,5110,16816,
